"Patient.name.use","","","",0,1,"","Y","Y","code {[]} {[]}
","usual | official | temp | nickname | anonymous | old | maiden","Identifies the purpose for this name.

この名前の使用目的","Applications can assume that a name is current unless it explicitly says that it is temporary or old.

患者氏名の種別をValueSet(NameUse)より選択する。

usual　　　一般

official　公式

temp　　　一時的

nickname　あだ名

anonymous　匿名

old　　　　使用されなくなった名前（または正しくありませんでしたが、記録のために保持）

maiden　　　旧姓","Allows the appropriate name for a particular context of use to be selected from among a set of names.

一連の名前の中から、特定の使用状況に適した名前を選択できるようになる。","","","","","","","",,"required","The use of a human name.","http://hl7.org/fhir/ValueSet/name-use|4.0.1","",,,,"HumanName.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","unique(./use)","XPN.7, but often indicated by which field contains the name"
"Patient.name.text","","","",0,1,"","","Y","string {[]} {[]}
","Text representation of the full name　名前全体のテキスト表現","Specifies the entire name as it should be displayed e.g. on an application UI. This may be provided instead of or as well as the specific parts.

アプリケーションUIなどで、表示する名前全体を指定する。名前の特定の部分の代わり、または特定の部分と同じとして使われることがある。","Can provide both a text representation and parts. Applications updating a name SHALL ensure that when both text and parts are present,  no content is included in the text that isn't found in a part.

姓名に分割できない場合は、text にフルネームを指定する。
例：ヤマダタロウ
姓名分割できる場合であっても、text にフルネームを指定してもよい。この場合、姓と名の間にスペースを入れる。
例：ヤマダ　タロウ","A renderable, unencoded form.","","","","","","","",,,,,"",,,,"HumanName.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./formatted","implied by XPN.11"
"Patient.name.family","","surname
","",0,1,"","","Y","string {[]} {[]}
","Family name (often called 'Surname')　名前のうち姓の部分。ファミリ名","The part of a name that links to the genealogy. In some cultures (e.g. Eritrea) the family name of a son is the first name of his father.

家系図にリンクする名前の部分。一部の文化では、息子の家系の名前は父親の名である。","Family Name may be decomposed into specific parts using extensions (de, nl, es related cultures).

カナ氏名（姓）
例：ヤマダ
ミドルネームを持つ人はgivenに入れる。旧アメリカ大統領の「ジョージ・W・ブッシュ」の場合
例：ブッシュ","","","","","","","","",,,,,"",,,,"HumanName.family",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = FAM]","XPN.1/FN.1"
"Patient.name.given","","first name
middle name","",0,*,"","","Y","string {[]} {[]}
","Given names (not always 'first'). Includes middle names　名前の名の部分で、ミドルネームを含む。","Given name.

名前の名の部分。","If only initials are recorded, they may be used in place of the full name parts. Initials may be separated into multiple given names but often aren't due to paractical limitations.  This element is not called ""first name"" since given names do not always come first.

カナ氏名（名）
例：タロウ
ミドルネームを持つ人はgivenに入れる。givenは繰り返し可能。旧アメリカ大統領の「ジョージ・ウォーカー・ブッシュ」の場合
XMLで表現すると　
  \<given value=""ジョージ""/\> 
  \<given value=""ウォーカー""/\> 
となる。

JSONで表現すると
   ""given"": [
     ""ジョージ"",
     ""ウォーカー""
    ]
となる。","","","","","","","","",,,,,"",,,,"HumanName.given",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = GIV]","XPN.2 + XPN.3"
"Patient.name.prefix","","","",0,*,"","","Y","string {[]} {[]}
","Parts that come before the name　名前の名の前に来る部分","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the start of the name.

学問的、法的な、雇用または貴族の地位などのために称号として取得され、名前の先頭に表示される名前の一部。","Note that FHIR strings SHALL NOT exceed 1MB in size

名前の接頭語
例：Mr.","","","","","","","","",,,,,"",,,,"HumanName.prefix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = PFX]","XPN.5"
"Patient.name.suffix","","","",0,*,"","","Y","string {[]} {[]}
","Parts that come after the name　名前の名のあとに続く部分","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the end of the name.

学問的、法的な、雇用または貴族の地位などのために称号として取得され、名前の最後に表示される名前の一部。","Note that FHIR strings SHALL NOT exceed 1MB in size

名前の接尾語
例：PhD","","","","","","","","",,,,,"",,,,"HumanName.suffix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = SFX]","XPN/4"
"Patient.name.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when name was/is in use　名前が使われる期間","Indicates the period of time when this name was valid for the named person.

この名前が指名された人に対して有効であった期間。","A Period specifies a range of time; the context of use will specify whether the entire range applies (e.g. ""the patient was an inpatient of the hospital for this time range"") or one value from the range applies (e.g. ""give to the patient between these two times"").

Period is not used for a duration (a measure of elapsed time). See [Duration](datatypes.html#Duration).

名前が使われていた/使われている期間。結婚して名前が変わったらperiodで切り分ける。","Allows names to be placed in historical context.","","","","","","","",,,,,"",,,,"HumanName.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./usablePeriod[type=""IVL<TS>""]","XPN.13 + XPN.14"
"Patient.name","@default","","",0,*,"","","Y","HumanName {[]} {[]}
","A name associated with the patient","A name associated with the individual.","A patient may have multiple names with different uses or applicable periods. For animals, the name is a ""HumanName"" in the sense that is assigned and used by humans and has the same patterns.","Need to be able to track the patient by multiple names. Examples are your official name and a partner name.","","","","","","","",,,,,"",,,,"Patient.name",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","name",".patient.name","PID-5, PID-9"
"Patient.telecom","","","",0,*,"","","Y","ContactPoint {[]} {[]}
","A contact detail for the individual　個人に連絡するための連絡先の詳細","A contact detail (e.g. a telephone number or an email address) by which the individual may be contacted.

個人に連絡するための連絡先の詳細（電話番号や電子メールアドレスなど）。","A Patient may have multiple ways to be contacted with different uses or applicable periods.  May need to have options for contacting the person urgently and also to help with identification. The address might not go directly to the individual, but may reach another party that is able to proxy for the patient (i.e. home phone, or pet owner's phone).

患者は、さまざまな用途または適用期間違いで連絡先を複数の方法を持っている場合があります。緊急時連絡先として、また身元確認を支援するためのオプションが必要になる場合があります。患者当人に直接連絡できない場合がありますが、患者を代理できる別の関係者（自宅の電話、またはペットの所有者の電話）を設定する場合もあります。","People have (primary) ways to contact them in some way such as phone, email.

人々は、電話、電子メールなどの何らかの方法で彼らに連絡する（プライマリ）方法を持っています。","","","","","","","",,,,,"",,,,"Patient.telecom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","telecom",".telecom","PID-13, PID-14, PID-40"
"Patient.telecom.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Patient.telecom.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Patient.telecom.system","","","",0,1,"","","Y","code {[]} {[]}
","phone | fax | email | pager | url | sms | other","Telecommunications form for contact point - what communications system is required to make use of the contact.","Note that FHIR strings SHALL NOT exceed 1MB in size

患者の連絡先の種別をValueSet(ContactPointSystem)より選択する。

 phone : 電話 

 fax :  Fax 

 email : 電子メール 

 pager : ポケットベル 

 url : 電話、ファックス、ポケットベル、または電子メールアドレスではなく、URLとして表される連絡先。これは、Webサイト、ブログ、Skype、Twitter、Facebookなどのさまざまな機関または個人の連絡先を対象としています。電子メールアドレスには使用しないでください。

 sms : SMSメッセージの送信に使用できる連絡先（携帯電話、一部の固定電話など）

 other : 電話、Fax、ポケットベル、または電子メールアドレスではなく、URLとして表現できない連絡先。例：内部メールアドレス。これは、URLとして表現できる連絡先（Skype、Twitter、Facebookなど）には使用しないでください。","","","","","","","","",,"required","Telecommunications form for contact point.","http://hl7.org/fhir/ValueSet/contact-point-system|4.0.1","",,,,"ContactPoint.system",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./scheme","XTN.3"
"Patient.telecom.value","","","",0,1,"","","Y","string {[]} {[]}
","The actual contact point details","The actual contact point details, in a form that is meaningful to the designated communication system (i.e. phone number or email address).","Additional text data such as phone extension numbers, or notes about use of the contact are sometimes included in the value.

連絡先の番号やメールアドレス","Need to support legacy numbers that are not in a tightly controlled format.","","","","","","","",,,,,"",,,,"ContactPoint.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./url","XTN.1 (or XTN.12)"
"Patient.telecom.use","","","",0,1,"","Y","Y","code {[]} {[]}
","home | work | temp | old | mobile - purpose of this contact point","Identifies the purpose for the contact point.","Applications can assume that a contact is current unless it explicitly says that it is temporary or old.

患者の連絡先の種別をValueSet(ContactPointUse)より選択する。

home 自宅

work 職場

temp 一時的

old 以前の

mobile モバイル機器","Need to track the way a person uses this contact, so a user can choose which is appropriate for their purpose.","","","","","","","",,"required","Use of contact point.","http://hl7.org/fhir/ValueSet/contact-point-use|4.0.1","",,,,"ContactPoint.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","unique(./use)","XTN.2 - but often indicated by field"
"Patient.telecom.rank","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Specify preferred order of use (1 = highest)","Specifies a preferred order in which to use a set of contacts. ContactPoints with lower rank values are more preferred than those with higher rank values.","Note that rank does not necessarily follow the order in which the contacts are represented in the instance.

連絡先の使用順序（1 = 最高）","","","","","","","","",,,,,"",,,,"ContactPoint.rank",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","n/a"
"Patient.telecom.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when the contact point was/is in use","Time period when the contact point was/is in use.","A Period specifies a range of time; the context of use will specify whether the entire range applies (e.g. ""the patient was an inpatient of the hospital for this time range"") or one value from the range applies (e.g. ""give to the patient between these two times"").

Period is not used for a duration (a measure of elapsed time). See [Duration](datatypes.html#Duration).

連絡先が使用されていた/されている期間","","","","","","","","",,,,,"",,,,"ContactPoint.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./usablePeriod[type=""IVL<TS>""]","N/A"
"Patient.gender","","","",0,1,"","","Y","code {[]} {[]}
","male | female | other | unknown","Administrative Gender - the gender that the patient is considered to have for administration and record keeping purposes.
管理上の性別-患者が管理および記録管理の目的で持つと見なされる性別。","The gender might not match the biological sex as determined by genetics or the individual's preferred identification. Note that for both humans and particularly animals, there are other legitimate possibilities than male and female, though the vast majority of systems and contexts only support male and female.  Systems providing decision support or enforcing business rules should ideally do this on the basis of Observations dealing with the specific sex or gender aspect of interest (anatomical, chromosomal, social, etc.)  However, because these observations are infrequently recorded, defaulting to the administrative gender is common practice.  Where such defaulting occurs, rule enforcement should allow for the variation between administrative and biological, chromosomal and other gender aspects.  For example, an alert about a hysterectomy on a male should be handled as a warning or overridable error, not a ""hard"" error.  See the Patient Gender and Sex section for additional information about communicating patient gender and sex.

患者の性別をValueSet(AdministrativeGender)より選択する。
male 男性
female 女性
other その他
unknown 不明","Needed for identification of the individual, in combination with (at least) name and birth date.","","","","","","","",,"required","The gender of a person used for administrative purposes.","http://hl7.org/fhir/ValueSet/administrative-gender|4.0.1","",,,,"Patient.gender",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","player[classCode=PSN|ANM and determinerCode=INSTANCE]/administrativeGender",".patient.administrativeGenderCode","PID-8"
"Patient.birthDate","","","",0,1,"","","Y","date {[]} {[]}
","The date of birth for the individual　個人の生年月日","The date of birth for the individual.
個人の生年月日","At least an estimated year should be provided as a guess if the real DOB is unknown  There is a standard extension ""patient-birthTime"" available that should be used where Time is required (such as in maternity/infant care systems).
実際の生年月日が不明な場合は、少なくとも推定年を推測として提供する必要があり、時間が必要な場合（出産/乳児ケアシステムなど）に使用できる標準の拡張extension「patient-birthTime」がある。

患者の生年月日をYYYY-MM-DD形式で入れる
例：1945-08-23","Age of the individual drives many clinical processes.","","","","","","","",,,,,"",,,,"Patient.birthDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","player[classCode=PSN|ANM and determinerCode=INSTANCE]/birthTime",".patient.birthTime","PID-7","21112-8"
"Patient.deceased[x]","","","",0,1,"","Y","Y","boolean {[]} {[]}
dateTime {[]} {[]}","Indicates if the individual is deceased or not　個人が死亡しているかどうかを示す","Indicates if the individual is deceased or not.
個人が死亡しているかどうかを示す。","If there's no value in the instance, it means there is no statement on whether or not the individual is deceased. Most systems will interpret the absence of a value as a sign of the person being alive.
値がない場合は、個人が死亡したかどうかについてのステートメントがないことを意味し、ほとんどのシステムは、値がないことを人が生きていることの兆候として解釈する。

患者が死亡しているかどうかを示す
deceasedBoolean　または　deceasedDateTime　のどちらかに値が入る
deceasedBoolean : true(死亡) / false(生存)
deceasedDateTime : 患者の死亡日時","The fact that a patient is deceased influences the clinical process. Also, in human communication and relation management it is necessary to know whether the person is alive.","","","","","","","",,,,,"",,,,"Patient.deceased[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","player[classCode=PSN|ANM and determinerCode=INSTANCE]/deceasedInd, player[classCode=PSN|ANM and determinerCode=INSTANCE]/deceasedTime","n/a","PID-30  (bool) and PID-29 (datetime)"
"Patient.address","","","",0,*,"","","Y","Address {[]} {[]}
","An address for the individual　個人の住所","An address for the individual.
個人の住所。","Patient may have multiple addresses with different uses or applicable periods.
患者は、異なる用途または適用可能な期間で複数の住所を持っている可能性がある。

【JPーCORE】
FHIRデータ型仕様に従って、以下の案とした。
・住所が構造化されている場合、住所パート Address.contry、Address.postalcode、Address.state、Address.city、Address.line に分割して記載する。
・住所が構造化されていない場合は、Address.text に記述する。
・各住所パートとtext は、両方存在してもよい。
※診療文書構造化記述規約等では、streetAddressLine (FHIRではlineに対応) に指定するとなっていた。","May need to keep track of patient addresses for contacting, billing or reporting requirements and also to help with identification.","","","","","","","",,,,,"",,,,"Patient.address",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","addr",".addr","PID-11"
"Patient.address.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Patient.address.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Patient.address.use","","","",0,1,"","Y","Y","code {[]} {[]}
","home | work | temp | old | billing - purpose of this address　住所の用途","The purpose of this address.
住所の用途","Applications can assume that an address is current unless it explicitly says that it is temporary or old.

住所の用途をValueSet(AddressUse)より選択する。

home   自宅
work   職場
temp   一時的
old   以前の
billing   請求書、インボイス、領収書などの送付用","Allows an appropriate address to be chosen from a list of many.","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""home""/>","","",,"required","The use of an address.","http://hl7.org/fhir/ValueSet/address-use|4.0.1","",,,,"Address.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","unique(./use)","XAD.7"
"Patient.address.type","","","",0,1,"","","Y","code {[]} {[]}
","postal | physical | both","Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.

住所（訪問できる住所）と郵送先住所（私書箱や気付住所など）を区別する。ほとんどのアドレスは両方。","The definition of Address states that ""address is intended to describe postal addresses, not physical locations"". However, many applications track whether an address has a dual purpose of being a location that can be visited as well as being a valid delivery destination, and Postal addresses are often used as proxies for physical locations (also see the [Location](location.html#) resource).

住所の種類をValueSet(AddressType)より選択する。

postal　　　郵送先 - 私書箱、気付の住所

physical　　訪れることのできる物理的な住所。

both　　　　postalとphysicalの両方","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""both""/>","","",,"required","The type of an address (physical / postal).","http://hl7.org/fhir/ValueSet/address-type|4.0.1","",,,,"Address.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","unique(./use)","XAD.18"
"Patient.address.text","","","",0,1,"","","Y","string {[]} {[]}
","Text representation of the address　住所のテキスト表現","Specifies the entire address as it should be displayed e.g. on a postal label. This may be provided instead of or as well as the specific parts.
表示するアドレス全体を指定する
例：郵便ラベル。これは、特定の部品の代わりに、または特定の部品と同様に提供される場合がある。","Can provide both a text representation and parts. Applications updating an address SHALL ensure that  when both text and parts are present,  no content is included in the text that isn't found in a part.
テキスト表現とパーツの両方を提供できる。アドレスを更新するアプリケーションは、テキストとパーツの両方が存在する場合、パーツにないコンテンツはテキストに含まれないようにする必要がある。

住所を(都道府県や市町村などに)分離して管理していない場合は、textに入れる。
住所を(都道府県や市町村などに)分離して管理している場合でも、まとめてtextに入れること。
郵便番号は含めない。
例：東京都文京区本郷7-3-1","A renderable, unencoded form.","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""137 Nowhere Street, Erewhon 9132""/>","","",,,,,"",,,,"Address.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./formatted","XAD.1 + XAD.2 + XAD.3 + XAD.4 + XAD.5 + XAD.6"
"Patient.address.line","","","",0,*,"","","Y","string {[]} {[]}
","Street name, number, direction & P.O. Box etc.ストリート名や番地など","This component contains the house number, apartment number, street name, street direction,  P.O. Box number, delivery hints, and similar address information.
このコンポーネントには、家番号、アパート番号、通りの名前、通りの方向、P.O。が含まれる。ボックス番号、配達のヒント、および同様の住所情報など。","Note that FHIR strings SHALL NOT exceed 1MB in size
１MBを超えないこと。
【JPーCORE】
state要素とcity要素で表現しなかったそのあとの住所部分を番地以降の部分も含めてすべていれる。
英数字は半角でも全角でもよい。文字列の前後および途中に空白文字を含めないこと。
繰り返し要素が許されているので、区切りを表現したい場合には、複数要素に分けて格納してもよい。

例：本郷7-3-1
例：大字石神９７６
例：藤崎町大字藤崎字西村1-2 春山荘201号室","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""137 Nowhere Street""/>","","",,,,,"",,,,"Address.line",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","AD.part[parttype = AL]","XAD.1 + XAD.2 (note: XAD.1 and XAD.2 have different meanings for a company address than for a person address)"
"Patient.address.city","","Municpality
","",0,1,"","","Y","string {[]} {[]}
","Name of city, town etc.　市区町村名","The name of the city, town, suburb, village or other community or delivery center.
市、町、郊外、村、その他のコミュニティまたは配達センターの名前。","Note that FHIR strings SHALL NOT exceed 1MB in size
１MBを超えないこと。
【JPO-CORE】
郡市区町村部分だけを「郡」「市」「区」「町」「村」などの文字を含めて設定する。
例：文京区","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Erewhon""/>","","",,,,,"",,,,"Address.city",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","AD.part[parttype = CTY]","XAD.3"
"Patient.address.district","","County
","",0,1,"","","Y","string {[]} {[]}
","District name (aka county)","The name of the administrative area (county).","District is sometimes known as county, but in some regions 'county' is used in place of city (municipality), so county name should be conveyed in city instead.
【JPO-CORE】
日本の住所では使用しない。","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Madison""/>","","",,,,,"",,,,"Address.district",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","AD.part[parttype = CNT | CPA]","XAD.9"
"Patient.address.state","","Province
Territory","",0,1,"","","Y","string {[]} {[]}
","Sub-unit of country (abbreviations ok)　国の次の地区単位","Sub-unit of a country with limited sovereignty in a federally organized country. A code may be used if codes are in common use (e.g. US 2 letter state codes).
国の主権が制限されている国のサブユニット。日本の場合、都道府県名。","Note that FHIR strings SHALL NOT exceed 1MB in size
１MBを超えないこと。
【JP-CORE】
都道府県名。「都」「道」「府」「県」のそれぞれの文字を含める。
例：東京都","","","","","","","","",,,,,"",,,,"Address.state",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","AD.part[parttype = STA]","XAD.4"
"Patient.address.postalCode","","Zip
","",0,1,"","","Y","string {[]} {[]}
","Postal code for area","A postal code designating a region defined by the postal service.","Note that FHIR strings SHALL NOT exceed 1MB in size
１MBを超えないこと。
【JP-CORE】
郵便番号。日本の郵便番号の場合には3桁数字とハイフン1文字と4桁数字からなる半角８文字、または最初の3桁だけの3文字のいずれかとする。
例：113-8655","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""9132""/>","","",,,,,"",,,,"Address.postalCode",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","AD.part[parttype = ZIP]","XAD.5"
"Patient.address.country","","","",0,1,"","","Y","string {[]} {[]}
","Country (e.g. can be ISO 3166 2 or 3 letter code)国名またはISO 3166コード","Country - a nation as commonly understood or generally accepted.
国-一般的に理解されている、または一般的に受け入れられている国の国名かコード。","ISO 3166 3 letter codes can be used in place of a human readable country name.
ISO 3166 3文字コードは、人間が読める国名の代わりに使用する。

ISO 3166の2文字または3文字のコード
日本であれば、jp　または　jpn","","","","","","","","",,,,,"",,,,"Address.country",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","AD.part[parttype = CNT]","XAD.6"
"Patient.address.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when address was/is in use　住所が使用されていた\（いる）期間","Time period when address was/is in use.
住所が使用されていた\（いる）期間","A Period specifies a range of time; the context of use will specify whether the entire range applies (e.g. ""the patient was an inpatient of the hospital for this time range"") or one value from the range applies (e.g. ""give to the patient between these two times"").
Period is not used for a duration (a measure of elapsed time). See [Duration](datatypes.html#Duration).

住所が使用されていた/されている期間。
期間は時間の範囲を指定する。使用状況はその期間全体に適用されるか、範囲から1つの値が適用される。
期間は、時間間隔（経過時間の測定値）には使用されない。","Allows addresses to be placed in historical context.","","","","","<valuePeriod xmlns=""http://hl7.org/fhir"">
  <start value=""2010-03-23""/>
  <end value=""2010-07-01""/>
</valuePeriod>","","",,,,,"",,,,"Address.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./usablePeriod[type=""IVL<TS>""]","XAD.12 / XAD.13 + XAD.14"
"Patient.maritalStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Marital (civil) status of a patient　患者の婚姻（市民）状態","This field contains a patient's most recent marital (civil) status.
このフィールドは患者の最新の婚姻（市民）状態が含む。","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.

患者の婚姻関係をValueSet(Marital Status Codes)より選択する。
A 婚姻取消・無効
D 離婚
I 暫定法令
L 法的別居中
M 既婚
P 一夫多妻制
S 生涯独身・非婚
T 同棲
U 未婚
W 未亡人
UNK 不明","Most, if not all systems capture it.","","","","","","","",,"extensible","The domestic partnership status of a person.","http://hl7.org/fhir/ValueSet/marital-status","",,,,"Patient.maritalStatus",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","player[classCode=PSN]/maritalStatusCode",".patient.maritalStatusCode","PID-16"
"Patient.multipleBirth[x]","","","",0,1,"","","","boolean {[]} {[]}
integer {[]} {[]}","Whether patient is part of a multiple birth　患者が多胎出産の一人かどうか。","Indicates whether the patient is part of a multiple (boolean) or indicates the actual birth order (integer).
患者が多胎児の一人であるか（boolean）、実際の出生順位（integer）であるかを示します。","Where the valueInteger is provided, the number is the birth number in the sequence. E.g. The middle birth in triplets would be valueInteger=2 and the third born would have valueInteger=3 If a boolean value was provided for this triplets example, then all 3 patient records would have valueBoolean=true (the ordering is not indicated).

multipleBirthBoolean　または　multipleBirthInteger　のどちらかに値が入る
multipleBirthBoolean : 多胎出産時かどうか。
３つ子の例にbooleanが指定された場合、3つの患者レコードすべてがvalueBoolean = trueになります（順序は示されない）
multipleBirthInteger : 多胎出産時の出生順位。
たとえば、３つ子の２番目の生まれはvalueInteger = 2で、3番目の生まれはvalueInteger = 3になる。","For disambiguation of multiple-birth children, especially relevant where the care provider doesn't meet the patient, such as labs.
多産児の曖昧性解消、特にラボなど、医療提供者が患者に会わない場合に関連します。","","","","","","","",,,,,"",,,,"Patient.multipleBirth[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","player[classCode=PSN|ANM and determinerCode=INSTANCE]/multipleBirthInd,  player[classCode=PSN|ANM and determinerCode=INSTANCE]/multipleBirthOrderNumber","n/a","PID-24 (bool), PID-25 (integer)"
"Patient.photo","","","",0,*,"","","","Attachment {[]} {[]}
","Image of the patient　患者の画像","Image of the patient.
患者の画像。","Guidelines:
* Use id photos, not clinical photos.
* Limit dimensions to thumbnail.
* Keep byte count low to ease resource updates

ガイドライン：
臨床写真ではなく、身分証明写真を使用してください。
寸法をサムネイルに制限します。
リソースの更新を容易にするため、バイト数を少なくしてください。","Many EHR systems have the capability to capture an image of the patient. Fits with newer social media usage too.

多くのEHRシステムには、患者の画像をキャプチャする機能があります。より新しいソーシャルメディアの使用にも適合します。","","","","","","","",,,,,"",,,,"Patient.photo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","player[classCode=PSN|ANM and determinerCode=INSTANCE]/desc","n/a","OBX-5 - needs a profile"
"Patient.contact","","","",0,*,"","","","BackboneElement {[]} {[]}
","A contact party (e.g. guardian, partner, friend) for the patient　患者の連絡先者（例：保護者、パートナー、友人）。","A contact party (e.g. guardian, partner, friend) for the patient.

患者の連絡先者（例：保護者、パートナー、友人）。","Contact covers all kinds of contact parties: family members, business contacts, guardians, caregivers. Not applicable to register pedigree and family ties beyond use of having contact.

連絡先には、家族、取引先、保護者、介護者など、あらゆる種類の連絡先が含まれます。連絡先として使用しない親戚や家族を登録するためには適用されません。","Need to track people you can contact about the patient.

患者について連絡できる人を確認する必要があります。","","","","","","","",,,,,"",,,,"Patient.contact",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
pat-1:SHALL at least contain a contact's details or a reference to an organization {name.exists() or telecom.exists() or address.exists() or organization.exists()}","player[classCode=PSN|ANM and determinerCode=INSTANCE]/scopedRole[classCode=CON]","n/a"
"Patient.contact.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
